Driver,LapNumber,LapTime,TyreLife,Compound,PitOutTime
MAG,8.0,0 days 00:01:24.956000,7.0,INTERMEDIATE,
MAG,9.0,0 days 00:01:29.039000,8.0,INTERMEDIATE,
MAG,10.0,0 days 00:01:42.023000,1.0,SOFT,0 days 01:16:19.632000
MAG,11.0,0 days 00:01:20.178000,2.0,SOFT,
MAG,12.0,0 days 00:01:18.419000,3.0,SOFT,
MAG,13.0,0 days 00:01:17.963000,4.0,SOFT,
MAG,14.0,0 days 00:01:17.757000,5.0,SOFT,
MAG,15.0,0 days 00:01:18.345000,6.0,SOFT,
MAG,16.0,0 days 00:01:34.259000,7.0,SOFT,
MAG,17.0,0 days 00:01:52.136000,8.0,SOFT,
MAG,18.0,0 days 00:01:59.556000,9.0,SOFT,
MAG,19.0,0 days 00:02:00.273000,10.0,SOFT,
MAG,20.0,0 days 00:01:56.410000,11.0,SOFT,
MAG,21.0,0 days 00:02:02.079000,12.0,SOFT,
MAG,22.0,0 days 00:01:18.662000,13.0,SOFT,
MAG,23.0,0 days 00:01:18.352000,14.0,SOFT,
MAG,24.0,0 days 00:01:17.864000,15.0,SOFT,
MAG,25.0,0 days 00:01:17.349000,16.0,SOFT,
MAG,26.0,0 days 00:01:17,17.0,SOFT,
MAG,27.0,0 days 00:01:17.733000,18.0,SOFT,
MAG,28.0,0 days 00:01:18.175000,19.0,SOFT,
MAG,29.0,0 days 00:01:18.122000,20.0,SOFT,
MAG,30.0,0 days 00:01:17.292000,21.0,SOFT,
MAG,31.0,0 days 00:01:17.457000,22.0,SOFT,
MAG,32.0,0 days 00:01:16.962000,23.0,SOFT,
MAG,33.0,0 days 00:01:17.035000,24.0,SOFT,
MAG,34.0,0 days 00:01:17.040000,25.0,SOFT,
MAG,35.0,0 days 00:01:20.308000,26.0,SOFT,
MAG,36.0,0 days 00:01:36.569000,1.0,MEDIUM,0 days 01:54:08.733000
MAG,37.0,0 days 00:01:15.489000,2.0,MEDIUM,
MAG,38.0,0 days 00:01:16.534000,3.0,MEDIUM,
MAG,39.0,0 days 00:01:16.341000,4.0,MEDIUM,
MAG,40.0,0 days 00:01:16.458000,5.0,MEDIUM,
MAG,41.0,0 days 00:01:16.244000,6.0,MEDIUM,
MAG,42.0,0 days 00:01:17.406000,7.0,MEDIUM,
MAG,43.0,0 days 00:01:16.392000,8.0,MEDIUM,
MAG,44.0,0 days 00:01:16.259000,9.0,MEDIUM,
MAG,45.0,0 days 00:01:16.589000,10.0,MEDIUM,
MAG,46.0,0 days 00:01:16.362000,11.0,MEDIUM,
MAG,47.0,0 days 00:01:16.333000,12.0,MEDIUM,
MAG,48.0,0 days 00:01:16.238000,13.0,MEDIUM,
MAG,49.0,0 days 00:01:16.169000,14.0,MEDIUM,
MAG,50.0,0 days 00:01:16.041000,15.0,MEDIUM,
MAG,51.0,0 days 00:01:15.986000,16.0,MEDIUM,
MAG,52.0,0 days 00:01:15.941000,17.0,MEDIUM,
MAG,53.0,0 days 00:01:15.839000,18.0,MEDIUM,
MAG,54.0,0 days 00:01:15.930000,19.0,MEDIUM,
MAG,55.0,0 days 00:01:16.295000,20.0,MEDIUM,
MAG,56.0,0 days 00:01:16.861000,21.0,MEDIUM,
MAG,57.0,0 days 00:01:16.453000,22.0,MEDIUM,
MAG,58.0,0 days 00:01:16.560000,23.0,MEDIUM,
MAG,59.0,0 days 00:01:16.521000,24.0,MEDIUM,
MAG,60.0,0 days 00:01:29.294000,25.0,MEDIUM,
MAG,61.0,0 days 00:01:48.463000,1.0,INTERMEDIATE,0 days 02:26:32.870000
MAG,62.0,0 days 00:01:26.200000,2.0,INTERMEDIATE,
MAG,63.0,0 days 00:02:25.291000,3.0,INTERMEDIATE,
MAG,64.0,,4.0,INTERMEDIATE,0 days 03:11:43.181000
MAG,65.0,0 days 00:02:29.068000,5.0,INTERMEDIATE,0 days 03:14:02.335000
MAG,66.0,0 days 00:02:01.205000,6.0,INTERMEDIATE,
MAG,67.0,0 days 00:01:30.623000,7.0,INTERMEDIATE,
MAG,68.0,0 days 00:01:25.674000,8.0,INTERMEDIATE,
MAG,69.0,0 days 00:01:24.092000,9.0,INTERMEDIATE,
MAG,70.0,0 days 00:01:23.027000,10.0,INTERMEDIATE,
MAG,71.0,0 days 00:01:23.912000,11.0,INTERMEDIATE,
MAG,72.0,0 days 00:01:23.550000,12.0,INTERMEDIATE,
TSU,1.0,0 days 00:01:46.869000,1.0,SOFT,
TSU,2.0,0 days 00:01:58.845000,6.0,INTERMEDIATE,0 days 01:04:22.848000
TSU,3.0,0 days 00:01:29.747000,7.0,INTERMEDIATE,
TSU,4.0,0 days 00:01:29.073000,8.0,INTERMEDIATE,
TSU,5.0,0 days 00:01:24.820000,9.0,INTERMEDIATE,
TSU,6.0,0 days 00:01:24.838000,10.0,INTERMEDIATE,
TSU,7.0,0 days 00:01:25.039000,11.0,INTERMEDIATE,
TSU,8.0,0 days 00:01:25.894000,12.0,INTERMEDIATE,
TSU,9.0,0 days 00:01:25.581000,13.0,INTERMEDIATE,
TSU,10.0,0 days 00:01:30.464000,14.0,INTERMEDIATE,
TSU,11.0,0 days 00:01:40.282000,1.0,SOFT,0 days 01:17:43.725000
TSU,12.0,0 days 00:01:18.212000,2.0,SOFT,
TSU,13.0,0 days 00:01:17.809000,3.0,SOFT,
TSU,14.0,0 days 00:01:17.219000,4.0,SOFT,
TSU,15.0,0 days 00:01:19.161000,5.0,SOFT,
TSU,16.0,0 days 00:01:37.007000,6.0,SOFT,
TSU,17.0,0 days 00:01:52.436000,7.0,SOFT,
TSU,18.0,0 days 00:01:56.297000,8.0,SOFT,
TSU,19.0,0 days 00:02:00.983000,9.0,SOFT,
TSU,20.0,0 days 00:01:55.751000,10.0,SOFT,
TSU,21.0,0 days 00:01:59.790000,11.0,SOFT,
TSU,22.0,0 days 00:01:19.082000,12.0,SOFT,
TSU,23.0,0 days 00:01:17.816000,13.0,SOFT,
TSU,24.0,0 days 00:01:17.466000,14.0,SOFT,
TSU,25.0,0 days 00:01:17.214000,15.0,SOFT,
TSU,26.0,0 days 00:01:16.931000,16.0,SOFT,
TSU,27.0,0 days 00:01:16.943000,17.0,SOFT,
TSU,28.0,0 days 00:01:16.652000,18.0,SOFT,
TSU,29.0,0 days 00:01:16.458000,19.0,SOFT,
TSU,30.0,0 days 00:01:16.861000,20.0,SOFT,
TSU,31.0,0 days 00:01:17.137000,21.0,SOFT,
TSU,32.0,0 days 00:01:16.678000,22.0,SOFT,
TSU,33.0,0 days 00:01:16.414000,23.0,SOFT,
TSU,34.0,0 days 00:01:16.396000,24.0,SOFT,
TSU,35.0,0 days 00:01:16.253000,25.0,SOFT,
TSU,36.0,0 days 00:01:16.644000,26.0,SOFT,
TSU,37.0,0 days 00:01:16.358000,27.0,SOFT,
TSU,38.0,0 days 00:01:16.419000,28.0,SOFT,
TSU,39.0,0 days 00:01:16.529000,29.0,SOFT,
TSU,40.0,0 days 00:01:16.470000,30.0,SOFT,
TSU,41.0,0 days 00:01:16.440000,31.0,SOFT,
TSU,42.0,0 days 00:01:16.521000,32.0,SOFT,
TSU,43.0,0 days 00:01:16.506000,33.0,SOFT,
TSU,44.0,0 days 00:01:16.580000,34.0,SOFT,
TSU,45.0,0 days 00:01:16.611000,35.0,SOFT,
TSU,46.0,0 days 00:01:16.711000,36.0,SOFT,
TSU,47.0,0 days 00:01:16.690000,37.0,SOFT,
TSU,48.0,0 days 00:01:17.184000,38.0,SOFT,
TSU,49.0,0 days 00:01:16.854000,39.0,SOFT,
TSU,50.0,0 days 00:01:17.095000,40.0,SOFT,
TSU,51.0,0 days 00:01:16.678000,41.0,SOFT,
TSU,52.0,0 days 00:01:18.472000,42.0,SOFT,
TSU,53.0,0 days 00:01:17.706000,43.0,SOFT,
TSU,54.0,0 days 00:01:17.283000,44.0,SOFT,
TSU,55.0,0 days 00:01:18.227000,45.0,SOFT,
TSU,56.0,0 days 00:01:17.545000,46.0,SOFT,
TSU,57.0,0 days 00:01:17.191000,47.0,SOFT,
TSU,58.0,0 days 00:01:17.197000,48.0,SOFT,
TSU,59.0,0 days 00:01:16.960000,49.0,SOFT,
TSU,60.0,0 days 00:01:25.858000,50.0,SOFT,
TSU,61.0,0 days 00:01:45.045000,6.0,INTERMEDIATE,0 days 02:26:11.417000
TSU,62.0,0 days 00:01:25.530000,7.0,INTERMEDIATE,
TSU,63.0,0 days 00:02:12.676000,8.0,INTERMEDIATE,
TSU,64.0,,6.0,INTERMEDIATE,0 days 03:11:28.900000
TSU,65.0,,7.0,INTERMEDIATE,0 days 03:13:49.241000
TSU,66.0,0 days 00:02:08.381000,8.0,INTERMEDIATE,
TSU,67.0,0 days 00:01:31.286000,9.0,INTERMEDIATE,
TSU,68.0,0 days 00:01:26.038000,10.0,INTERMEDIATE,
TSU,69.0,0 days 00:01:23.772000,11.0,INTERMEDIATE,
TSU,70.0,0 days 00:01:23.423000,12.0,INTERMEDIATE,
TSU,71.0,0 days 00:01:23.101000,13.0,INTERMEDIATE,
TSU,72.0,0 days 00:01:23.883000,14.0,INTERMEDIATE,
ALB,1.0,0 days 00:01:34.276000,1.0,SOFT,
ALB,2.0,0 days 00:01:48.180000,2.0,SOFT,
ALB,3.0,0 days 00:01:50.236000,3.0,SOFT,
ALB,4.0,0 days 00:01:48.341000,4.0,SOFT,
ALB,5.0,0 days 00:01:41.277000,5.0,SOFT,
ALB,6.0,0 days 00:01:34.451000,6.0,SOFT,
ALB,7.0,0 days 00:01:26.740000,7.0,SOFT,
ALB,8.0,0 days 00:01:22.359000,8.0,SOFT,
ALB,9.0,0 days 00:01:19.783000,9.0,SOFT,
ALB,10.0,0 days 00:01:20.383000,10.0,SOFT,
ALB,11.0,0 days 00:01:17.859000,11.0,SOFT,
ALB,12.0,0 days 00:01:17.102000,12.0,SOFT,
ALB,13.0,0 days 00:01:17.082000,13.0,SOFT,
ALB,14.0,0 days 00:01:17.315000,14.0,SOFT,
ALB,15.0,0 days 00:01:17.544000,15.0,SOFT,
ALB,16.0,0 days 00:01:34.524000,16.0,SOFT,
ALB,17.0,0 days 00:01:52.736000,17.0,SOFT,
ALB,18.0,0 days 00:01:57.209000,18.0,SOFT,
ALB,19.0,0 days 00:02:00.042000,19.0,SOFT,
ALB,20.0,0 days 00:01:56.634000,20.0,SOFT,
ALB,21.0,0 days 00:02:01.176000,21.0,SOFT,
ALB,22.0,0 days 00:01:18.652000,22.0,SOFT,
ALB,23.0,0 days 00:01:17.043000,23.0,SOFT,
ALB,24.0,0 days 00:01:17.040000,24.0,SOFT,
ALB,25.0,0 days 00:01:16.228000,25.0,SOFT,
ALB,26.0,0 days 00:01:16.391000,26.0,SOFT,
ALB,27.0,0 days 00:01:16.754000,27.0,SOFT,
ALB,28.0,0 days 00:01:16.452000,28.0,SOFT,
ALB,29.0,0 days 00:01:16.300000,29.0,SOFT,
ALB,30.0,0 days 00:01:16.402000,30.0,SOFT,
ALB,31.0,0 days 00:01:16.175000,31.0,SOFT,
ALB,32.0,0 days 00:01:16.148000,32.0,SOFT,
ALB,33.0,0 days 00:01:16.336000,33.0,SOFT,
ALB,34.0,0 days 00:01:16.377000,34.0,SOFT,
ALB,35.0,0 days 00:01:16.211000,35.0,SOFT,
ALB,36.0,0 days 00:01:16.252000,36.0,SOFT,
ALB,37.0,0 days 00:01:16.167000,37.0,SOFT,
ALB,38.0,0 days 00:01:16.196000,38.0,SOFT,
ALB,39.0,0 days 00:01:16.219000,39.0,SOFT,
ALB,40.0,0 days 00:01:16.207000,40.0,SOFT,
ALB,41.0,0 days 00:01:16.484000,41.0,SOFT,
ALB,42.0,0 days 00:01:16.270000,42.0,SOFT,
ALB,43.0,0 days 00:01:16.364000,43.0,SOFT,
ALB,44.0,0 days 00:01:19.870000,44.0,SOFT,
ALB,45.0,0 days 00:01:34.284000,1.0,MEDIUM,0 days 02:05:21.158000
ALB,46.0,0 days 00:01:15.363000,2.0,MEDIUM,
ALB,47.0,0 days 00:01:15.019000,3.0,MEDIUM,
ALB,48.0,0 days 00:01:15.265000,4.0,MEDIUM,
ALB,49.0,0 days 00:01:15.132000,5.0,MEDIUM,
ALB,50.0,0 days 00:01:15.024000,6.0,MEDIUM,
ALB,51.0,0 days 00:01:14.917000,7.0,MEDIUM,
ALB,52.0,0 days 00:01:16.367000,8.0,MEDIUM,
ALB,53.0,0 days 00:01:15.396000,9.0,MEDIUM,
ALB,54.0,0 days 00:01:15.082000,10.0,MEDIUM,
ALB,55.0,0 days 00:01:14.468000,11.0,MEDIUM,
ALB,56.0,0 days 00:01:14.816000,12.0,MEDIUM,
ALB,57.0,0 days 00:01:14.710000,13.0,MEDIUM,
ALB,58.0,0 days 00:01:14.613000,14.0,MEDIUM,
ALB,59.0,0 days 00:01:14.483000,15.0,MEDIUM,
ALB,60.0,0 days 00:01:16.861000,16.0,MEDIUM,
ALB,61.0,0 days 00:01:33.951000,17.0,MEDIUM,
ALB,62.0,0 days 00:01:45.255000,6.0,INTERMEDIATE,0 days 02:27:18.494000
ALB,63.0,0 days 00:01:56.100000,7.0,INTERMEDIATE,
ALB,64.0,,6.0,INTERMEDIATE,0 days 03:11:21.400000
ALB,65.0,,7.0,INTERMEDIATE,0 days 03:13:42.070000
ALB,66.0,0 days 00:02:10.646000,8.0,INTERMEDIATE,
ALB,67.0,0 days 00:01:28.510000,9.0,INTERMEDIATE,
ALB,68.0,0 days 00:01:25.116000,10.0,INTERMEDIATE,
ALB,69.0,0 days 00:01:22.887000,11.0,INTERMEDIATE,
ALB,70.0,0 days 00:01:22.401000,12.0,INTERMEDIATE,
ALB,71.0,0 days 00:01:22.247000,13.0,INTERMEDIATE,
ALB,72.0,0 days 00:01:22.496000,14.0,INTERMEDIATE,
ZHO,1.0,0 days 00:01:45.469000,1.0,SOFT,
ZHO,2.0,0 days 00:01:52.606000,1.0,INTERMEDIATE,0 days 01:04:12.176000
ZHO,3.0,0 days 00:01:29.926000,2.0,INTERMEDIATE,
ZHO,4.0,0 days 00:01:25.286000,3.0,INTERMEDIATE,
ZHO,5.0,0 days 00:01:23.977000,4.0,INTERMEDIATE,
ZHO,6.0,0 days 00:01:23.522000,5.0,INTERMEDIATE,
ZHO,7.0,0 days 00:01:25.449000,6.0,INTERMEDIATE,
ZHO,8.0,0 days 00:01:24.884000,7.0,INTERMEDIATE,
ZHO,9.0,0 days 00:01:25.204000,8.0,INTERMEDIATE,
ZHO,10.0,0 days 00:01:29.135000,9.0,INTERMEDIATE,
ZHO,11.0,0 days 00:01:44.703000,1.0,MEDIUM,0 days 01:17:29.319000
ZHO,12.0,0 days 00:01:19.633000,2.0,MEDIUM,
ZHO,13.0,0 days 00:01:18.607000,3.0,MEDIUM,
ZHO,14.0,0 days 00:01:18.019000,4.0,MEDIUM,
ZHO,15.0,0 days 00:01:17.840000,5.0,MEDIUM,
ZHO,16.0,0 days 00:01:28.860000,6.0,MEDIUM,
ZHO,17.0,0 days 00:01:55.640000,7.0,MEDIUM,
ZHO,18.0,0 days 00:02:06.532000,8.0,MEDIUM,
ZHO,19.0,0 days 00:02:00.349000,9.0,MEDIUM,
ZHO,20.0,0 days 00:01:56.096000,10.0,MEDIUM,
ZHO,21.0,0 days 00:02:03.109000,11.0,MEDIUM,
ZHO,22.0,0 days 00:01:18.284000,12.0,MEDIUM,
ZHO,23.0,0 days 00:01:17.350000,13.0,MEDIUM,
ZHO,24.0,0 days 00:01:17.312000,14.0,MEDIUM,
ZHO,25.0,0 days 00:01:17.751000,15.0,MEDIUM,
ZHO,26.0,0 days 00:01:17.181000,16.0,MEDIUM,
ZHO,27.0,0 days 00:01:17.700000,17.0,MEDIUM,
ZHO,28.0,0 days 00:01:17.136000,18.0,MEDIUM,
ZHO,29.0,0 days 00:01:16.713000,19.0,MEDIUM,
ZHO,30.0,0 days 00:01:16.986000,20.0,MEDIUM,
ZHO,31.0,0 days 00:01:17.926000,21.0,MEDIUM,
ZHO,32.0,0 days 00:01:18.022000,22.0,MEDIUM,
ZHO,33.0,0 days 00:01:17.830000,23.0,MEDIUM,
ZHO,34.0,0 days 00:01:17.583000,24.0,MEDIUM,
ZHO,35.0,0 days 00:01:16.959000,25.0,MEDIUM,
ZHO,36.0,0 days 00:01:16.802000,26.0,MEDIUM,
ZHO,37.0,0 days 00:01:19.808000,27.0,MEDIUM,
ZHO,38.0,0 days 00:01:35.648000,1.0,SOFT,0 days 01:56:40.324000
ZHO,39.0,0 days 00:01:15.417000,2.0,SOFT,
ZHO,40.0,0 days 00:01:16.127000,3.0,SOFT,
ZHO,41.0,0 days 00:01:16.244000,4.0,SOFT,
ZHO,42.0,0 days 00:01:16.117000,5.0,SOFT,
ZHO,43.0,0 days 00:01:16.123000,6.0,SOFT,
ZHO,44.0,0 days 00:01:15.880000,7.0,SOFT,
ZHO,45.0,0 days 00:01:16.139000,8.0,SOFT,
ZHO,46.0,0 days 00:01:16.224000,9.0,SOFT,
ZHO,47.0,0 days 00:01:15.866000,10.0,SOFT,
ZHO,48.0,0 days 00:01:16.359000,11.0,SOFT,
ZHO,49.0,0 days 00:01:15.844000,12.0,SOFT,
ZHO,50.0,0 days 00:01:15.752000,13.0,SOFT,
ZHO,51.0,0 days 00:01:15.579000,14.0,SOFT,
ZHO,52.0,0 days 00:01:15.679000,15.0,SOFT,
ZHO,53.0,0 days 00:01:15.879000,16.0,SOFT,
ZHO,54.0,0 days 00:01:15.759000,17.0,SOFT,
ZHO,55.0,0 days 00:01:15.914000,18.0,SOFT,
ZHO,56.0,0 days 00:01:15.723000,19.0,SOFT,
ZHO,57.0,0 days 00:01:16.032000,20.0,SOFT,
ZHO,58.0,0 days 00:01:15.895000,21.0,SOFT,
ZHO,59.0,0 days 00:01:15.968000,22.0,SOFT,
ZHO,60.0,0 days 00:01:24.048000,23.0,SOFT,
ZHO,61.0,0 days 00:01:45.850000,1.0,INTERMEDIATE,0 days 02:26:15.495000
ZHO,62.0,0 days 00:01:25.085000,2.0,INTERMEDIATE,
ZHO,63.0,,3.0,INTERMEDIATE,
HUL,1.0,0 days 00:01:38.096000,1.0,SOFT,
HUL,2.0,0 days 00:01:51.204000,2.0,SOFT,
HUL,3.0,0 days 00:01:52.192000,3.0,SOFT,
HUL,4.0,0 days 00:01:48.453000,4.0,SOFT,
HUL,5.0,0 days 00:01:39.606000,5.0,SOFT,
HUL,6.0,0 days 00:01:32.448000,6.0,SOFT,
HUL,7.0,0 days 00:01:27.761000,7.0,SOFT,
HUL,8.0,0 days 00:01:25.269000,8.0,SOFT,
HUL,9.0,0 days 00:01:22.661000,9.0,SOFT,
HUL,10.0,0 days 00:01:19.062000,10.0,SOFT,
HUL,11.0,0 days 00:01:18.396000,11.0,SOFT,
HUL,12.0,0 days 00:01:17.606000,12.0,SOFT,
HUL,13.0,0 days 00:01:17.641000,13.0,SOFT,
HUL,14.0,0 days 00:01:17.838000,14.0,SOFT,
HUL,15.0,0 days 00:01:17.290000,15.0,SOFT,
HUL,16.0,0 days 00:01:41.193000,16.0,SOFT,
HUL,17.0,0 days 00:02:07.901000,1.0,MEDIUM,0 days 01:26:30.825000
HUL,18.0,0 days 00:01:32.939000,2.0,MEDIUM,
HUL,19.0,0 days 00:02:03.879000,3.0,MEDIUM,
HUL,20.0,0 days 00:01:51.423000,4.0,MEDIUM,
HUL,21.0,0 days 00:01:57.015000,5.0,MEDIUM,
HUL,22.0,0 days 00:01:18.576000,6.0,MEDIUM,
HUL,23.0,0 days 00:01:18.062000,7.0,MEDIUM,
HUL,24.0,0 days 00:01:17.381000,8.0,MEDIUM,
HUL,25.0,0 days 00:01:17.593000,9.0,MEDIUM,
HUL,26.0,0 days 00:01:18.076000,10.0,MEDIUM,
HUL,27.0,0 days 00:01:17.188000,11.0,MEDIUM,
HUL,28.0,0 days 00:01:17.549000,12.0,MEDIUM,
HUL,29.0,0 days 00:01:17.297000,13.0,MEDIUM,
HUL,30.0,0 days 00:01:17.007000,14.0,MEDIUM,
HUL,31.0,0 days 00:01:17.514000,15.0,MEDIUM,
HUL,32.0,0 days 00:01:16.941000,16.0,MEDIUM,
HUL,33.0,0 days 00:01:16.848000,17.0,MEDIUM,
HUL,34.0,0 days 00:01:16.943000,18.0,MEDIUM,
HUL,35.0,0 days 00:01:16.992000,19.0,MEDIUM,
HUL,36.0,0 days 00:01:16.624000,20.0,MEDIUM,
HUL,37.0,0 days 00:01:16.549000,21.0,MEDIUM,
HUL,38.0,0 days 00:01:16.555000,22.0,MEDIUM,
HUL,39.0,0 days 00:01:16.840000,23.0,MEDIUM,
HUL,40.0,0 days 00:01:16.629000,24.0,MEDIUM,
HUL,41.0,0 days 00:01:17.130000,25.0,MEDIUM,
HUL,42.0,0 days 00:01:17.609000,26.0,MEDIUM,
HUL,43.0,0 days 00:01:16.840000,27.0,MEDIUM,
HUL,44.0,0 days 00:01:16.587000,28.0,MEDIUM,
HUL,45.0,0 days 00:01:16.728000,29.0,MEDIUM,
HUL,46.0,0 days 00:01:17.852000,30.0,MEDIUM,
HUL,47.0,0 days 00:01:17.034000,31.0,MEDIUM,
HUL,48.0,0 days 00:01:20.979000,32.0,MEDIUM,
HUL,49.0,0 days 00:01:33.698000,1.0,SOFT,0 days 02:10:51.199000
HUL,50.0,0 days 00:01:14.930000,2.0,SOFT,
HUL,51.0,0 days 00:01:14.986000,3.0,SOFT,
HUL,52.0,0 days 00:01:14.671000,4.0,SOFT,
HUL,53.0,0 days 00:01:14.472000,5.0,SOFT,
HUL,54.0,0 days 00:01:14.986000,6.0,SOFT,
HUL,55.0,0 days 00:01:14.486000,7.0,SOFT,
HUL,56.0,0 days 00:01:14.616000,8.0,SOFT,
HUL,57.0,0 days 00:01:15.014000,9.0,SOFT,
HUL,58.0,0 days 00:01:14.880000,10.0,SOFT,
HUL,59.0,0 days 00:01:15.267000,11.0,SOFT,
HUL,60.0,0 days 00:01:25.354000,12.0,SOFT,
HUL,61.0,0 days 00:01:47.710000,4.0,INTERMEDIATE,0 days 02:26:22.417000
HUL,62.0,0 days 00:01:24.932000,5.0,INTERMEDIATE,
HUL,63.0,0 days 00:02:11.990000,6.0,INTERMEDIATE,
HUL,64.0,,5.0,INTERMEDIATE,0 days 03:11:33.369000
HUL,65.0,,6.0,INTERMEDIATE,0 days 03:13:52.835000
HUL,66.0,0 days 00:02:07.078000,7.0,INTERMEDIATE,
HUL,67.0,0 days 00:01:30.090000,8.0,INTERMEDIATE,
HUL,68.0,0 days 00:01:25.084000,9.0,INTERMEDIATE,
HUL,69.0,0 days 00:01:23.077000,10.0,INTERMEDIATE,
HUL,70.0,0 days 00:01:22.593000,11.0,INTERMEDIATE,
HUL,71.0,0 days 00:01:22.423000,12.0,INTERMEDIATE,
HUL,72.0,0 days 00:01:23.154000,13.0,INTERMEDIATE,
OCO,1.0,0 days 00:01:39.075000,1.0,SOFT,
OCO,2.0,0 days 00:01:56.975000,2.0,SOFT,
OCO,3.0,0 days 00:01:50.095000,1.0,INTERMEDIATE,0 days 01:06:02.284000
OCO,4.0,0 days 00:01:26.929000,2.0,INTERMEDIATE,
OCO,5.0,0 days 00:01:23.380000,3.0,INTERMEDIATE,
OCO,6.0,0 days 00:01:24.049000,4.0,INTERMEDIATE,
OCO,7.0,0 days 00:01:23.837000,5.0,INTERMEDIATE,
OCO,8.0,0 days 00:01:24.391000,6.0,INTERMEDIATE,
OCO,9.0,0 days 00:01:25.007000,7.0,INTERMEDIATE,
OCO,10.0,0 days 00:01:29.440000,8.0,INTERMEDIATE,
OCO,11.0,0 days 00:01:39.291000,1.0,SOFT,0 days 01:17:46.693000
OCO,12.0,0 days 00:01:18.046000,2.0,SOFT,
OCO,13.0,0 days 00:01:17.096000,3.0,SOFT,
OCO,14.0,0 days 00:01:17.221000,4.0,SOFT,
OCO,15.0,0 days 00:01:17.973000,5.0,SOFT,
OCO,16.0,0 days 00:01:36.304000,6.0,SOFT,
OCO,17.0,0 days 00:01:52.712000,7.0,SOFT,
OCO,18.0,0 days 00:01:56.550000,8.0,SOFT,
OCO,19.0,0 days 00:02:00.361000,9.0,SOFT,
OCO,20.0,0 days 00:01:56.510000,10.0,SOFT,
OCO,21.0,0 days 00:02:00.315000,11.0,SOFT,
OCO,22.0,0 days 00:01:19.020000,12.0,SOFT,
OCO,23.0,0 days 00:01:17.859000,13.0,SOFT,
OCO,24.0,0 days 00:01:16.743000,14.0,SOFT,
OCO,25.0,0 days 00:01:16.735000,15.0,SOFT,
OCO,26.0,0 days 00:01:17.040000,16.0,SOFT,
OCO,27.0,0 days 00:01:16.343000,17.0,SOFT,
OCO,28.0,0 days 00:01:16.641000,18.0,SOFT,
OCO,29.0,0 days 00:01:16.572000,19.0,SOFT,
OCO,30.0,0 days 00:01:16.344000,20.0,SOFT,
OCO,31.0,0 days 00:01:16.468000,21.0,SOFT,
OCO,32.0,0 days 00:01:16.401000,22.0,SOFT,
OCO,33.0,0 days 00:01:16.223000,23.0,SOFT,
OCO,34.0,0 days 00:01:16.305000,24.0,SOFT,
OCO,35.0,0 days 00:01:16.254000,25.0,SOFT,
OCO,36.0,0 days 00:01:16.336000,26.0,SOFT,
OCO,37.0,0 days 00:01:16.116000,27.0,SOFT,
OCO,38.0,0 days 00:01:16.217000,28.0,SOFT,
OCO,39.0,0 days 00:01:16.868000,29.0,SOFT,
OCO,40.0,0 days 00:01:16.526000,30.0,SOFT,
OCO,41.0,0 days 00:01:16.671000,31.0,SOFT,
OCO,42.0,0 days 00:01:16.810000,32.0,SOFT,
OCO,43.0,0 days 00:01:20.543000,33.0,SOFT,
OCO,44.0,0 days 00:01:33,1.0,SOFT,0 days 02:04:09.316000
OCO,45.0,0 days 00:01:15.657000,2.0,SOFT,
OCO,46.0,0 days 00:01:15.362000,3.0,SOFT,
OCO,47.0,0 days 00:01:15.534000,4.0,SOFT,
OCO,48.0,0 days 00:01:14.854000,5.0,SOFT,
OCO,49.0,0 days 00:01:14.916000,6.0,SOFT,
OCO,50.0,0 days 00:01:14.842000,7.0,SOFT,
OCO,51.0,0 days 00:01:14.570000,8.0,SOFT,
OCO,52.0,0 days 00:01:14.836000,9.0,SOFT,
OCO,53.0,0 days 00:01:16.707000,10.0,SOFT,
OCO,54.0,0 days 00:01:15.386000,11.0,SOFT,
OCO,55.0,0 days 00:01:15.169000,12.0,SOFT,
OCO,56.0,0 days 00:01:14.953000,13.0,SOFT,
OCO,57.0,0 days 00:01:15.023000,14.0,SOFT,
OCO,58.0,0 days 00:01:15.975000,15.0,SOFT,
OCO,59.0,0 days 00:01:15.294000,16.0,SOFT,
OCO,60.0,0 days 00:01:16.993000,17.0,SOFT,
OCO,61.0,0 days 00:01:33.888000,18.0,SOFT,
OCO,62.0,0 days 00:01:48.996000,1.0,WET,0 days 02:27:25.322000
OCO,63.0,0 days 00:02:01.555000,2.0,WET,
OCO,64.0,,1.0,INTERMEDIATE,0 days 03:11:25.588000
OCO,65.0,,2.0,INTERMEDIATE,0 days 03:13:46.991000
OCO,66.0,0 days 00:02:08.716000,3.0,INTERMEDIATE,
OCO,67.0,0 days 00:01:29.320000,4.0,INTERMEDIATE,
OCO,68.0,0 days 00:01:25.058000,5.0,INTERMEDIATE,
OCO,69.0,0 days 00:01:23.178000,6.0,INTERMEDIATE,
OCO,70.0,0 days 00:01:22.476000,7.0,INTERMEDIATE,
OCO,71.0,0 days 00:01:22.487000,8.0,INTERMEDIATE,
OCO,72.0,0 days 00:01:23.205000,9.0,INTERMEDIATE,
NOR,1.0,0 days 00:01:32.227000,1.0,SOFT,
NOR,2.0,0 days 00:01:47.848000,2.0,SOFT,
NOR,3.0,0 days 00:01:55.144000,3.0,SOFT,
NOR,4.0,0 days 00:01:47.537000,1.0,INTERMEDIATE,0 days 01:07:39.063000
