X,Y,Z,Speed,nGear,Distance,Throttle,Brake
-1382.511772421603,-779.0895343032242,1871.1818404674864,311.9937504,8,0.176901744057129,99.0,False
-1382.4481389683488,-778.3145463819262,1871.183956423686,312.0,8,0.26388888888889284,99.0,False
-1367.0,-593.0,1872.0,313.14499968,8,20.230465761236243,99.0,False
-1354.3257168026905,-445.2082376580685,1872.9091461316866,314.0,8,35.15277777777778,99.0,False
-1352.0,-419.0,1873.0,314.0,8,37.76821070868577,99.0,False
-1341.5858985507682,-305.34788418965303,1873.0282218265118,314.0,8,49.108333333333334,99.0,False
-1336.0,-245.0,1873.0,314.3980765538462,8,55.150987683789026,99.0,False
-1260.7020972243836,607.7167664098465,1877.54212506032,320.0,8,141.55277777777778,99.0,False
-1254.0,687.0,1878.0,320.44499968,8,149.48686585708688,99.44499968,False
-1245.6755009515707,786.2095803537452,1878.5311802793708,321.0,8,159.38611111111112,100.0,False
-1239.0,864.0,1879.0,321.3749994666667,8,167.4258204232388,99.62500053333333,False
-1227.9665584916863,986.8910565864205,1879.8863040863814,322.0,8,180.8527777777778,99.0,False
-1224.0,1034.0,1880.0,322.3124992,8,185.33631510458997,99.0,False
-1219.0,1096.0,1880.0,322.6874992,8,190.72099173520328,99.0,False
-1214.9278465240297,1145.3694427066025,1880.1582907137176,323.0,8,195.20833333333334,99.0,False
-1199.0,1328.0,1882.0,323.0,8,214.05021001438843,99.0,False
-1196.8047371078324,1353.434044790568,1882.2020512271004,323.0,8,216.74166666666665,99.0,False
-1183.0,1516.0,1883.0,323.0,8,233.78792712203406,99.79166613333334,False
-1179.24336985927,1560.2741091462713,1883.1597111327828,323.0,8,238.275,100.0,False
-1163.7883941719674,1741.3007785437837,1883.777365326874,323.0,8,256.21944444444443,100.0,False
-1160.0,1785.0,1884.0,322.75000064,8,260.6961287623941,100.0,False
-1148.5576159595153,1915.5558451227787,1884.8442492373829,322.0,8,274.10833333333335,100.0,False
-1146.0,1945.0,1885.0,322.0,8,276.70167170853654,100.0,False
-1128.0864105650053,2153.7904988558807,1885.7722331524908,322.0,8,291.99722222222226,100.0,False
-1123.0,2213.0,1886.0,322.0,8,296.3800944682441,100.0,False
-1112.4287435369351,2335.2175472558465,1886.5755397708704,322.0,8,306.30833333333334,100.0,False
-1099.461206814282,2483.4260836800886,1887.4936742450775,322.0,8,320.61944444444447,99.0,False
-1092.0,2569.0,1888.0,322.0,8,330.3688412341528,99.4541664,False
-1084.4691333298317,2656.116854949677,1888.4412008556699,322.0,8,342.08611111111117,100.0,False
-1072.0,2801.0,1889.0,322.0,8,362.56961105500994,100.0,False
-1062.6821320028148,2908.106750041502,1889.3884574059114,322.0,8,374.2861111111111,100.0,False
-1052.0,3032.0,1890.0,322.0,8,385.8225234110015,100.0,False
-1045.5411903514616,3108.0605827623917,1890.505794951336,322.0,8,392.175,100.0,False
-1028.0,3316.0,1892.0,322.0,8,409.08312061735757,99.05500032,False
-1027.085175211426,3326.7488400066,1892.0614412495836,322.0,8,410.0638888888889,99.0,False
-1015.3452509044546,3463.016177859529,1892.5724433559817,320.0,8,424.28611111111115,100.0,False
-1005.4661563618625,3575.7117207644364,1892.7688808485611,320.0,8,438.4194444444445,100.0,False
-1001.0,3627.0,1893.0,320.0,8,444.64378456669164,100.0,False
-992.255436251582,3727.954380051642,1893.673061097577,320.0,8,456.19722222222225,100.0,False
-988.0,3777.0,1894.0,319.84423712782296,8,460.6343901147249,100.0,False
-958.0,4122.0,1896.0,319.0342681189818,8,483.66699704866437,100.0,False
-956.825271575735,4135.585362812499,1896.0739389699152,319.0,8,484.6413888888889,100.0,False
-936.4505917423934,4373.900220474579,1897.2857972665643,319.0,8,505.9080555555556,100.0,False
-925.0,4510.0,1898.0,319.0,8,522.748609381117,100.0,False
-922.4004913196695,4541.0235861841675,1898.1853481366907,319.0,8,527.1747222222223,100.0,False
-908.8075406013553,4701.441309959099,1898.987626486427,318.0,8,551.9080555555555,100.0,False
-907.0,4722.0,1899.0,318.0,8,554.4683829099924,100.0,False
-900.0,4801.0,1899.0,318.0,8,563.2981101444032,100.0,False
-894.4798955118689,4864.16415191309,1899.2256996954495,318.0,8,569.5747222222221,100.0,False
-884.0,4986.0,1900.0,318.4031248,8,581.0010561402831,100.0,False
-869.7182985699853,5155.331776251684,1901.1385123348223,319.0,8,597.9302777777777,100.0,False
-857.0,5303.0,1902.0,318.4718752,8,612.8643163691736,100.0,False
-844.664049195825,5439.565297064655,1902.5882381862236,318.0,8,626.1969444444444,100.0,False
-838.0,5514.0,1903.0,318.0,8,634.0608947312276,100.0,False
-830.7064875499675,5598.84164525689,1903.676343216504,318.0,8,643.863611111111,100.0,False
-826.0,5655.0,1904.0,317.8214290285714,8,648.272553866996,100.0,False
-804.0,5919.0,1905.0,317.25357165714286,8,662.2699029876861,100.0,False
-796.205941101018,6011.326657418209,1905.4206129705024,317.0,8,668.5191666666666,100.0,False
-778.0,6219.0,1907.0,317.0,8,697.578137334717,100.0,False
-776.2512378629674,6239.811476610742,1907.0920467186197,317.0,8,700.2191666666666,100.0,False
-765.7279116366797,6367.746017996703,1907.5330864085774,317.0,8,714.3080555555555,99.0,False
-761.0,6425.0,1908.0,317.0,8,720.4860022563139,99.4374992,False
-754.7319703980556,6500.212383794005,1908.908739691173,317.0,8,728.3969444444443,100.0,False
-754.0,6509.0,1909.0,316.7750016,8,729.1824172696449,96.78573714285714,False
-726.0,6846.0,1911.0,310.2750016,8,751.5620169132177,3.928594285714282,False
-724.9533947845997,6858.540595104055,1911.056905755095,310.0,8,752.5080555555554,0.0,False
-712.8231123333377,7002.853751135429,1911.6278161088849,308.0,8,766.1969444444443,0.0,False
-700.9945346080747,7141.083652866542,1911.8976883868993,283.0,8,788.2080555555553,0.0,True
-698.0,7177.0,1912.0,272.75001874285715,8,793.2141138112772,0.0,True
-688.3187628716782,7295.64948658819,1912.4475396109708,242.0,8,807.0302777777777,0.0,True
